Code,Cortisol_1,Index_1,Rang,Temperatur
M501,12.435,0.125,Subord,37.94
M502,10.915,0.411764706,Subord,37.72
M503,11.52,0.285714286,Subord,37.72
M504,25.63,0.785714286,Domi,37.9
M505,14.37,0.904761905,Domi,37.9
M506,19.305,0.375,Subord,38.36
M507,6.785,0.181818182,Subord,37.48
M410,10.685,0.111111111,Subord,37.32
M013,17.66,0.08,Subord,37.2
M414,22.27,0.642857143,Domi,38.54
M415,,0.862068966,Domi,38.86
M401,,0.111111111,Subord,37.4
M402,12.655,0.055555556,Subord,38.02
M405,17.975,0.842105263,Domi,38.72
M406,40.445,1,Domi,
M407,18.29,0.666666667,Domi,38.26
M408,15.76,1,Domi,37.98
