Code,Cortisol_2,Index_2,Rang,Temperatur
M501,24.315,0.285714286,Subord,38.18
M502,11.145,0.571428571,Domi,37.92
M503,6.025,0.166666667,Subord,37.96
M504,11.845,0.8,Domi,37.86
M505,8.62,0.857142857,Domi,38.14
M506,5.795,0.25,Subord,38.52
M507,8.995,0.375,Subord,37.82
M410,18.035,0.2,Subord,37.64
M013,26.485,0.125,Subord,38.26
M414,10.535,0.7,Domi,38.46
M415,14.055,0.454545455,Subord,38.5
M401,15.24,0.153846154,Subord,37.72
M402,13.875,0,Subord,38.6
M405,38.05,0.76,Domi,38.42
M406,24.585,0.955555556,Domi,
M407,30.025,0.45,Subord,38.42
M408,,0.625,Domi,38.62
