Code,Alter,Cortisol,Index,Temperatur,Dominanz
M501,0.5 Jahre,24.315,0.285714286,38.06,Subdominant
M502,0.5 Jahre,11.145,0.571428571,37.82,Dominant
M503,0.5 Jahre,6.025,0.166666667,37.84,Subdominant
M504,0.5 Jahre,11.845,0.8,37.88,Dominant
M505,0.5 Jahre,8.62,0.857142857,38.02,Dominant
M506,0.5 Jahre,5.795,0.25,38.44,Subdominant
M507,0.5 Jahre,8.995,0.375,37.65,Subdominant
M410,2.5 Jahre,18.035,0.2,37.48,Subdominant
M013,2.5 Jahre,26.485,0.125,37.73,Subdominant
M414,2.5 Jahre,10.535,0.7,38.5,Dominant
M415,2.5 Jahre,14.055,0.454545455,38.68,Subdominant
M401,2.5 Jahre,15.24,0.153846154,37.56,Subdominant
M402,2.5 Jahre,13.875,0,38.31,Subdominant
M405,2.5 Jahre,38.05,0.76,38.57,Dominant
M406,2.5 Jahre,24.585,0.955555556,38.34,Dominant
M407,2.5 Jahre,30.025,0.45,38.3,Subdominant
M408,2.5 Jahre,,0.625,,
